ZIP CODE,PO_NAME
11372,Jackson Heights
11004,Glen Oaks
11040,New Hyde Park
11426,Bellerose
11365,Fresh Meadows
11373,Elmhurst
11001,Floral Park
11375,Forest Hills
11427,Queens Village
11374,Rego Park
11366,Fresh Meadows
11423,Hollis
11428,Queens Village
11432,Jamaica
11379,Middle Village
11429,Queens Village
11435,Jamaica
11415,Kew Gardens
11418,Richmond Hill
11433,Jamaica
11451,Jamaica
11221,Brooklyn
11421,Woodhaven
11419,South Richmond Hill
11434,Jamaica
11216,Brooklyn
11416,Ozone Park
11233,Brooklyn
11436,Jamaica
11213,Brooklyn
11212,Brooklyn
11225,Brooklyn
11218,Brooklyn
11226,Brooklyn
11219,Brooklyn
11210,Brooklyn
11230,Brooklyn
11204,Brooklyn
10471,Bronx
10470,Bronx
10466,Bronx
10467,Bronx
10463,Bronx
10475,Bronx
10464,Bronx
10469,Bronx
10468,Bronx
10463,Bronx
10458,Bronx
10034,New York
10033,New York
10462,Bronx
10040,New York
10453,Bronx
10465,Bronx
10464,Bronx
10464,Bronx
10461,Bronx
10457,Bronx
10460,Bronx
10032,New York
10452,Bronx
10456,Bronx
10472,Bronx
10031,New York
10039,New York
10459,Bronx
10451,Bronx
10473,Bronx
10030,New York
10027,New York
10474,Bronx
10455,Bronx
10037,New York
10024,New York
10454,Bronx
10026,New York
10035,New York
10025,New York
10035,New York
11357,Whitestone
10029,New York
00083,Central Park
11356,College Point
11359,Bayside
11360,Bayside
11105,Astoria
10128,New York
11371,Flushing
10023,New York
11363,Little Neck
10028,New York
11354,Flushing
11102,Astoria
11370,East Elmhurst
10021,New York
11361,Bayside
11358,Flushing
11362,Little Neck
10044,New York
11369,East Elmhurst
11103,Astoria
11106,Astoria
11368,Corona
11377,Woodside
10036,New York
11355,Flushing
11101,Long Island City
11364,Oakland Gardens
10018,New York
10020,New York
11005,Floral Park
10017,New York
10001,New York
10011,New York
10016,New York
11104,Sunnyside
11109,Long Island City
10010,New York
11367,Flushing
10014,New York
10003,New York
11222,Brooklyn
10002,New York
11378,Maspeth
10009,New York
10012,New York
10013,New York
11211,Brooklyn
10007,New York
11237,Brooklyn
11385,Ridgewood
10038,New York
11206,Brooklyn
10006,New York
11412,Saint Albans
10005,New York
11251,Brooklyn
10004,New York
11411,Cambria Heights
11201,Brooklyn
10004,New York
11205,Brooklyn
11208,Brooklyn
11207,Brooklyn
10004,New York
10004,New York
11413,Springfield Gardens
11217,Brooklyn
11238,Brooklyn
11231,Brooklyn
11422,Rosedale
11420,South Ozone Park
11417,Ozone Park
11215,Brooklyn
11414,Howard Beach
11231,Brooklyn
11232,Brooklyn
11430,Jamaica
11203,Brooklyn
11239,Brooklyn
11236,Brooklyn
11220,Brooklyn
10301,Staten Island
10310,Staten Island
10303,Staten Island
11234,Brooklyn
10302,Staten Island
11693,Far Rockaway
11209,Brooklyn
10304,Staten Island
10314,Staten Island
11693,Far Rockaway
11228,Brooklyn
11096,Inwood
10305,Staten Island
11229,Brooklyn
11214,Brooklyn
11691,Far Rockaway
11096,Inwood
11223,Brooklyn
11693,Far Rockaway
11692,Arverne
11235,Brooklyn
11693,Far Rockaway
10306,Staten Island
11694,Rockaway Park
11224,Brooklyn
10308,Staten Island
11697,Breezy Point
10312,Staten Island
10309,Staten Island
10307,Staten Island
10280,New York
10048,New York
10279,New York
10165,New York
10168,New York
10055,New York
10105,New York
10118,New York
10176,New York
10162,New York
10019,New York
10111,New York
10170,New York
10112,New York
10122,New York
10107,New York
10103,New York
10153,New York
10174,New York
10166,New York
10169,New York
10167,New York
10177,New York
10172,New York
10171,New York
10154,New York
10152,New York
10270,New York
10104,New York
10271,New York
10110,New York
10175,New York
10151,New York
10173,New York
10178,New York
10119,New York
10121,New York
10115,New York
10123,New York
10106,New York
10158,New York
10041,New York
10120,New York
10278,New York
10155,New York
10022,New York
10043,New York
10081,New York
10096,New York
10097,New York
10196,New York
10196,New York
10275,New York
10265,New York
10045,New York
10047,New York
10047,New York
10080,New York
10203,New York
10259,New York
10260,New York
10285,New York
10286,New York
11370,Bronx
10065,New York
10075,New York
10069,New York
10281,New York
10282,New York
